total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,hosp_patients,new_tests,total_tests,new_tests_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,population,extreme_poverty
63595.0,562.0,593.857,1241.0,8.0,6.857,704.0,2997.0,276420.0,3386.0,0.0,0.0,246837.0,8236.0,8229.5,2872934.0,1.1
64627.0,656.0,620.571,1252.0,5.0,6.0,704.0,3727.0,281722.0,3471.0,128.0,128.0,246837.0,8236.0,64.0,2872934.0,1.1
65334.0,707.0,618.0,1256.0,4.0,5.571,704.0,3307.0,285029.0,3386.0,188.0,188.0,246837.0,60.0,63.0,2872934.0,1.1
65994.0,660.0,612.714,1261.0,5.0,5.429,704.0,3695.0,288724.0,3390.0,266.0,266.0,246837.0,78.0,66.0,2872934.0,1.1
66635.0,641.0,608.143,1265.0,4.0,5.0,704.0,3530.0,292254.0,3333.0,308.0,308.0,246837.0,42.0,62.0,2872934.0,1.1
67216.0,581.0,597.571,1270.0,5.0,5.286,704.0,3029.0,295283.0,3123.0,369.0,369.0,246837.0,61.0,62.0,2872934.0,1.1
67690.0,474.0,585.0,1277.0,7.0,5.143,704.0,2521.0,297804.0,3055.0,405.0,405.0,246837.0,36.0,58.0,2872934.0,1.1
67982.0,292.0,573.0,1281.0,4.0,4.857,704.0,2343.0,300147.0,3165.0,447.0,447.0,246837.0,42.0,55.0,2872934.0,1.1
68568.0,586.0,563.0,1287.0,6.0,5.0,704.0,2510.0,302657.0,2991.0,483.0,483.0,246837.0,36.0,51.0,2872934.0,1.1
69238.0,670.0,557.714,1291.0,4.0,5.0,704.0,3331.0,305988.0,2994.0,519.0,519.0,246837.0,36.0,47.0,2872934.0,1.1
69916.0,678.0,560.286,1296.0,5.0,5.0,704.0,3088.0,309076.0,2907.0,549.0,549.0,246837.0,30.0,40.0,2872934.0,1.1
79934.0,942.0,891.857,1398.0,5.0,9.429,704.0,3856.0,349925.0,3570.0,550.0,549.0,1.0,8236.0,0.0,2872934.0,1.1
87528.0,1239.0,1084.857,1488.0,16.0,12.857,704.0,4562.0,374604.0,3526.0,1127.0,689.0,438.0,8236.0,82.0,2872934.0,1.1
95726.0,1075.0,1007.857,1600.0,18.0,13.857,704.0,3901.0,402383.0,3385.0,1701.0,1090.0,611.0,8236.0,72.0,2872934.0,1.1
96838.0,1112.0,1008.857,1617.0,17.0,14.286,704.0,3935.0,406318.0,3363.0,3049.0,2438.0,611.0,1348.0,254.0,2872934.0,1.1
97909.0,1071.0,1010.571,1636.0,19.0,15.0,704.0,3848.0,410166.0,3344.0,4177.0,456980.0,246837.0,1128.0,405.0,2872934.0,1.1
101285.0,1039.0,1062.143,1681.0,15.0,16.286,704.0,3258.0,421412.0,3550.0,6728.0,6073.0,655.0,8236.0,739.0,2872934.0,1.1
104313.0,986.0,1067.857,1736.0,21.0,17.0,704.0,3691.0,432998.0,3811.0,10135.0,456980.0,246837.0,8236.0,1012.0,2872934.0,1.1
107931.0,764.0,949.429,1816.0,20.0,19.286,704.0,2714.0,447163.0,3679.0,14295.0,456980.0,246837.0,8236.0,1081.0,2872934.0,1.1
109674.0,851.0,906.714,1856.0,21.0,20.143,704.0,3149.0,453681.0,3482.0,15793.0,456980.0,246837.0,8236.0,971.0,2872934.0,1.1
114840.0,631.0,738.0,1986.0,17.0,18.571,704.0,3035.0,475740.0,3151.0,21613.0,456980.0,246837.0,8236.0,831.0,2872934.0,1.1
116123.0,681.0,688.857,2018.0,16.0,17.286,704.0,3340.0,482157.0,3148.0,23635.0,456980.0,246837.0,8236.0,883.0,2872934.0,1.1
118938.0,446.0,585.429,2092.0,15.0,15.143,704.0,2997.0,497742.0,3143.0,33369.0,456980.0,246837.0,8236.0,1679.0,2872934.0,1.1
121544.0,344.0,503.857,2145.0,8.0,12.143,704.0,1993.0,512453.0,2959.0,48229.0,456980.0,246837.0,8236.0,2679.0,2872934.0,1.1
121847.0,303.0,479.286,2156.0,11.0,11.286,704.0,2174.0,514627.0,2840.0,51690.0,456980.0,246837.0,3461.0,2895.0,2872934.0,1.1
122295.0,448.0,479.571,2171.0,15.0,11.286,704.0,2475.0,517102.0,2766.0,53992.0,456980.0,246837.0,2302.0,2946.0,2872934.0,1.1
122767.0,472.0,462.714,2184.0,13.0,11.143,704.0,2794.0,519896.0,2737.0,59348.0,456980.0,246837.0,5356.0,3287.0,2872934.0,1.1
123216.0,449.0,456.286,2192.0,8.0,10.0,704.0,3012.0,522908.0,2741.0,62248.0,456980.0,246837.0,2900.0,3276.0,2872934.0,1.1
123641.0,425.0,442.857,2204.0,12.0,10.143,704.0,3070.0,525978.0,2715.0,64075.0,456980.0,246837.0,1827.0,3113.0,2872934.0,1.1
124134.0,493.0,419.143,2210.0,6.0,10.429,704.0,2993.0,528971.0,2644.0,78000.0,456980.0,246837.0,13925.0,4678.0,2872934.0,1.1
124723.0,304.0,410.857,2227.0,11.0,10.143,704.0,2730.0,533594.0,2710.0,119321.0,456980.0,246837.0,8236.0,9662.0,2872934.0,1.1
125157.0,434.0,408.857,2235.0,8.0,9.143,704.0,2991.0,536585.0,2783.0,138846.0,456980.0,246837.0,19525.0,12122.0,2872934.0,1.1
125506.0,349.0,391.286,2241.0,6.0,8.143,704.0,2899.0,539484.0,2798.0,155463.0,456980.0,246837.0,16617.0,13731.0,2872934.0,1.1
125842.0,336.0,375.143,2247.0,6.0,7.857,704.0,2865.0,542349.0,2777.0,172486.0,456980.0,246837.0,17023.0,15748.0,2872934.0,1.1
126183.0,341.0,363.143,2256.0,9.0,7.429,704.0,3007.0,545356.0,2768.0,185496.0,456980.0,246837.0,13010.0,17346.0,2872934.0,1.1
126531.0,348.0,342.429,2265.0,9.0,7.857,704.0,3056.0,548412.0,2777.0,192882.0,456980.0,246837.0,7386.0,16412.0,2872934.0,1.1
126795.0,264.0,339.429,2274.0,9.0,8.286,704.0,2092.0,550504.0,2806.0,206708.0,456980.0,246837.0,13826.0,15435.0,2872934.0,1.1
126936.0,141.0,316.143,2283.0,9.0,8.0,704.0,2334.0,552838.0,2749.0,221588.0,456980.0,246837.0,14880.0,14610.0,2872934.0,1.1
127192.0,256.0,290.714,2291.0,8.0,8.0,704.0,2538.0,555376.0,2684.0,232379.0,456980.0,246837.0,10791.0,13362.0,2872934.0,1.1
127509.0,317.0,286.143,2297.0,6.0,8.0,704.0,3024.0,558400.0,2702.0,242542.0,456980.0,246837.0,10163.0,12440.0,2872934.0,1.1
127795.0,286.0,279.0,2304.0,7.0,8.143,704.0,2966.0,561366.0,2717.0,250676.0,456980.0,246837.0,8134.0,11170.0,2872934.0,1.1
128155.0,360.0,281.714,2310.0,6.0,7.714,704.0,3342.0,564708.0,2765.0,256810.0,456980.0,246837.0,6134.0,10188.0,2872934.0,1.1
128518.0,125.0,246.143,2321.0,4.0,6.714,704.0,1983.0,569375.0,2696.0,267531.0,456980.0,246837.0,8236.0,8689.0,2872934.0,1.1
128752.0,234.0,259.429,2326.0,5.0,6.143,704.0,2862.0,572237.0,2771.0,281216.0,456980.0,246837.0,13685.0,8518.0,2872934.0,1.1
129128.0,169.0,231.286,2335.0,4.0,5.429,704.0,2520.0,577455.0,2722.0,304488.0,456980.0,246837.0,8236.0,8849.0,2872934.0,1.1
129307.0,179.0,216.0,2337.0,2.0,4.714,704.0,2652.0,580107.0,2677.0,314622.0,456980.0,246837.0,10134.0,9135.0,2872934.0,1.1
129456.0,149.0,185.857,2340.0,3.0,4.286,704.0,2886.0,582993.0,2612.0,324840.0,456980.0,246837.0,10218.0,9719.0,2872934.0,1.1
129594.0,138.0,171.571,2342.0,2.0,3.571,704.0,2480.0,585473.0,2583.0,332905.0,456980.0,246837.0,8065.0,10105.0,2872934.0,1.1
129694.0,100.0,168.0,2347.0,5.0,3.714,704.0,1867.0,587340.0,2566.0,345934.0,456980.0,246837.0,13029.0,11200.0,2872934.0,1.1
129842.0,148.0,155.714,2353.0,6.0,3.857,704.0,3008.0,590348.0,2587.0,350000.0,456980.0,246837.0,4066.0,9826.0,2872934.0,1.1
129980.0,138.0,145.857,2358.0,5.0,3.857,704.0,2584.0,592932.0,2571.0,372075.0,456980.0,246837.0,22075.0,11318.0,2872934.0,1.1
130114.0,134.0,140.857,2364.0,6.0,4.143,704.0,2517.0,595449.0,2571.0,382998.0,456980.0,246837.0,10923.0,11216.0,2872934.0,1.1
130270.0,156.0,137.571,2367.0,3.0,4.286,704.0,3079.0,598528.0,2632.0,391351.0,456980.0,246837.0,8353.0,10961.0,2872934.0,1.1
130409.0,139.0,136.143,2372.0,5.0,4.571,704.0,3457.0,601985.0,2713.0,400064.0,456980.0,246837.0,8713.0,10746.0,2872934.0,1.1
130606.0,69.0,130.286,2379.0,1.0,4.571,704.0,994.0,605768.0,2633.0,408619.0,456980.0,246837.0,8236.0,8955.0,2872934.0,1.1
130736.0,130.0,127.714,2383.0,4.0,4.286,704.0,2839.0,608607.0,2608.0,416855.0,456980.0,246837.0,8236.0,9551.0,2872934.0,1.1
130859.0,123.0,125.571,2386.0,3.0,4.0,704.0,2258.0,610865.0,2562.0,433628.0,456980.0,246837.0,16773.0,8793.0,2872934.0,1.1
130977.0,118.0,123.286,2389.0,3.0,3.571,704.0,2079.0,612944.0,2499.0,453248.0,456980.0,246837.0,19620.0,10036.0,2872934.0,1.1
131085.0,108.0,116.429,2394.0,5.0,3.857,704.0,2808.0,615752.0,2461.0,476903.0,456980.0,246837.0,23655.0,12222.0,2872934.0,1.1
131185.0,100.0,110.857,2396.0,2.0,3.429,704.0,2962.0,618714.0,2390.0,494028.0,456980.0,246837.0,17125.0,13423.0,2872934.0,1.1
131276.0,38.0,95.714,2399.0,2.0,2.857,704.0,1762.0,622011.0,2320.0,517501.0,456980.0,246837.0,8236.0,15555.0,2872934.0,1.1
131327.0,51.0,84.429,2402.0,3.0,2.714,704.0,1995.0,624006.0,2200.0,537387.0,456980.0,246837.0,19886.0,17219.0,2872934.0,1.1
131419.0,92.0,80.0,2403.0,1.0,2.429,704.0,2851.0,626857.0,2285.0,556584.0,456980.0,246837.0,19197.0,17565.0,2872934.0,1.1
131510.0,91.0,76.143,2406.0,3.0,2.429,704.0,2818.0,629675.0,2390.0,572226.0,456980.0,246837.0,15642.0,16997.0,2872934.0,1.1
131577.0,67.0,70.286,2408.0,2.0,2.0,704.0,2728.0,632403.0,2379.0,585693.0,456980.0,246837.0,13467.0,15541.0,2872934.0,1.1
131666.0,89.0,68.714,2411.0,3.0,2.143,704.0,4516.0,636919.0,2601.0,596766.0,456980.0,246837.0,11073.0,14677.0,2872934.0,1.1
131723.0,57.0,69.286,2412.0,1.0,2.143,704.0,1952.0,638871.0,2660.0,600000.0,456980.0,246837.0,3234.0,13462.0,2872934.0,1.1
131753.0,30.0,68.143,2416.0,4.0,2.429,704.0,1444.0,640315.0,2615.0,612959.0,456980.0,246837.0,12959.0,13637.0,2872934.0,1.1
131803.0,50.0,68.0,2420.0,4.0,2.571,704.0,2956.0,643271.0,2752.0,622507.0,440921.0,181586.0,9548.0,12160.0,2872934.0,1.1
131845.0,42.0,60.857,2423.0,3.0,2.857,704.0,2707.0,645978.0,2732.0,632676.0,444755.0,187921.0,10169.0,10870.0,2872934.0,1.1
131890.0,45.0,54.286,2426.0,3.0,2.857,704.0,2596.0,648574.0,2700.0,638338.0,445402.0,192936.0,5662.0,9445.0,2872934.0,1.1
131939.0,49.0,51.714,2427.0,1.0,2.714,704.0,2964.0,651538.0,2734.0,653330.0,448571.0,204759.0,14992.0,9662.0,2872934.0,1.1
132032.0,17.0,39.857,2435.0,3.0,2.714,704.0,2639.0,659439.0,2732.0,680083.0,456980.0,223103.0,8236.0,9589.0,2872934.0,1.1
132071.0,39.0,38.286,2436.0,1.0,2.286,704.0,3169.0,662608.0,2762.0,688947.0,460191.0,228756.0,8864.0,9491.0,2872934.0,1.1
132095.0,24.0,35.714,2438.0,2.0,2.143,704.0,3051.0,665659.0,2812.0,697811.0,463402.0,234409.0,8864.0,9305.0,2872934.0,1.1
132118.0,23.0,32.571,2440.0,2.0,2.0,704.0,3093.0,668752.0,2883.0,703743.0,466083.0,237660.0,5932.0,9344.0,2872934.0,1.1
132153.0,35.0,30.571,2441.0,1.0,2.0,704.0,3167.0,671919.0,2912.0,708846.0,469169.0,239677.0,5103.0,7931.0,2872934.0,1.1
132209.0,33.0,27.714,2444.0,2.0,1.714,704.0,2512.0,678293.0,3070.0,716616.0,472840.0,243776.0,8236.0,6493.0,2872934.0,1.1
132215.0,6.0,26.143,2445.0,1.0,1.429,704.0,2020.0,680313.0,2982.0,725135.0,475237.0,249898.0,8519.0,6436.0,2872934.0,1.1
132244.0,15.0,21.286,2447.0,0.0,1.286,704.0,2691.0,686370.0,2959.0,748986.0,479789.0,269197.0,8236.0,7311.0,2872934.0,1.1
132264.0,20.0,20.857,2447.0,0.0,1.0,704.0,3137.0,689507.0,2965.0,759043.0,481788.0,277255.0,10057.0,7900.0,2872934.0,1.1
132309.0,12.0,14.286,2450.0,1.0,0.857,704.0,2170.0,697739.0,2778.0,772204.0,485162.0,287042.0,8236.0,7941.0,2872934.0,1.1
132315.0,6.0,14.286,2451.0,1.0,0.857,704.0,2325.0,700064.0,2822.0,776461.0,486128.0,290333.0,4257.0,7332.0,2872934.0,1.1
132337.0,22.0,15.429,2451.0,0.0,0.571,704.0,3661.0,703725.0,2864.0,780342.0,487078.0,293264.0,3881.0,6183.0,2872934.0,1.1
132360.0,9.0,13.714,2451.0,0.0,0.571,704.0,3340.0,710122.0,2945.0,787321.0,490050.0,297271.0,8236.0,4040.0,2872934.0,1.1
132379.0,5.0,10.0,2451.0,0.0,0.143,704.0,1881.0,718515.0,2968.0,798624.0,492522.0,306102.0,8236.0,3774.0,2872934.0,1.1
132384.0,5.0,9.857,2452.0,1.0,0.143,704.0,2103.0,720618.0,2936.0,803682.0,493346.0,310336.0,5058.0,3889.0,2872934.0,1.1
132397.0,13.0,8.571,2452.0,0.0,0.143,704.0,2872.0,723490.0,2824.0,809992.0,494437.0,315555.0,6310.0,4236.0,2872934.0,1.1
132415.0,18.0,9.143,2452.0,0.0,0.143,704.0,2821.0,726311.0,2790.0,816556.0,496024.0,320532.0,6564.0,4675.0,2872934.0,1.1
132426.0,11.0,9.429,2452.0,0.0,0.143,704.0,2648.0,728959.0,2691.0,823053.0,498437.0,324616.0,6497.0,5105.0,2872934.0,1.1
132437.0,11.0,9.286,2453.0,1.0,0.286,704.0,2915.0,731874.0,2690.0,830281.0,501735.0,328546.0,7228.0,5599.0,2872934.0,1.1
132449.0,12.0,10.714,2453.0,0.0,0.286,704.0,2916.0,734790.0,2594.0,834868.0,503721.0,331147.0,4587.0,5716.0,2872934.0,1.1
132459.0,10.0,11.429,2453.0,0.0,0.286,704.0,2224.0,737014.0,2643.0,836430.0,504257.0,332173.0,1562.0,5401.0,2872934.0,1.1
192639.0,1148.0,922.143,3515.0,18.0,16.714,283.5,6354.0,853829.0,5203.0,565.0,565.0,51605.0,63759.5,2385.0,2968128.0,1.8
